galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_compact_finite,v_K_scale_tail_spiral,v_K_exponential_disk,v_K_thick_flared,W_warp,K_z,K_EC,K_lag,K_wvo,wvo_attenuation,delta_v2_wvo,v_wvo_endpoint,endpoint_scores_allowed,claim_boundary
NGC4013,5.49,198.0,10.0,160.10672977735825,193.76211597911944,197.47638698193927,194.52803883863646,194.0971832524612,191.80368826958824,192.9386609825046,0.0,0.30331948794487756,0.35335689045936397,1.0,0.0,0.0,0.0,193.76211597911944,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,6.17,195.0,5.0,164.22333147272346,200.50158514555804,204.2874906511374,201.43614747520735,200.88130638869575,198.32853834825613,199.57511570895264,0.0,0.27922465121767454,0.3271537622682661,0.9314814814814815,0.0,0.0,0.0,200.50158514555804,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,6.92,194.0,4.0,166.28152191389157,205.5400356321617,209.32801015818936,206.68626942761279,205.96847551484936,203.12773712277055,204.49803026525183,0.0,0.256731267631333,0.3024193548387097,0.7925925925925925,0.0,0.0,0.0,205.5400356321617,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,7.69,195.0,3.0,166.75022479744968,209.0779704538197,212.81051655041065,210.46878439433553,209.55467765552714,206.42370377605764,207.91814429332823,0.0,0.2371202913662112,0.2806361085126286,0.6499999999999999,0.0,0.0,0.0,209.0779704538197,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,8.36,195.0,3.0,165.5469037161372,210.59636344323175,214.2240530294019,212.22734835044616,211.11470008506666,207.72850830674633,209.33213536389346,0.0,0.22234194226253018,0.2640845070422535,0.5259259259259259,0.0,0.0,0.0,210.59636344323175,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,9.12,195.0,3.0,162.65998592155356,210.8277887587793,214.2827639583525,212.76527025368551,211.39317772075026,207.71347802333844,209.44274593579686,0.0,0.20766109466737837,0.24752475247524758,0.38518518518518524,0.0,0.0,0.0,210.8277887587793,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,9.88,192.0,7.0,157.09293873373176,208.51382680035871,211.70998287138536,210.81082269105707,209.1298738133695,205.1281224025808,206.9963464368703,0.0,0.194798867857523,0.23291925465838512,0.2444444444444442,0.0,0.0,0.0,208.51382680035871,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,10.56,188.0,8.0,149.88698652651604,204.28531305430064,207.1938359584078,206.960921900581,204.95143463454002,200.62679480125385,202.63542562073312,0.4500740740740751,0.18457022563524772,0.22123893805309736,0.1185185185185183,0.07866209869355331,0.017027659114789245,-710.6065989120689,202.53859516344423,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,11.31,186.0,7.0,142.82472363004942,200.2125416781364,202.8697712552352,203.3402166258217,200.93077553792332,196.26751667383303,198.42241811076124,1.0,0.17446618300445227,0.20964360587002098,0.0,0.12803659629149108,0.027715552369925168,-1110.9796308228688,197.4185457711525,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,12.08,186.0,6.0,136.64702814185165,196.7834014689962,199.26624437577357,200.40858594380708,197.55080012747362,192.56604006123354,194.8585805329439,1.0,0.16518236398336958,0.19893899204244034,0.0,0.12137378534193663,0.02627328124470033,-1017.3988473103891,194.1811222709297,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,12.77,186.0,5.0,131.95662726820507,194.3078525883512,196.70336068454304,198.40520365083282,195.1153083623937,189.86753096942365,192.27152792928104,1.0,0.15766428147554543,0.19023462270133162,0.0,0.11596630139229235,0.025102745562427933,-947.7677537915661,191.85352179124797,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,13.47,185.0,6.0,128.01845327920503,192.40532223782853,194.77196905544645,197.0028760649589,193.24906395317367,187.76268228285906,190.26650918464426,1.0,0.1507056797581336,0.18214936247723132,0.0,0.11095168074512163,0.024017251374144795,-889.1140351696376,190.08075649647702,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,14.17,180.0,10.0,124.4767450972269,190.73034471993145,193.116130875659,195.85530720849235,191.60745568351868,185.90179958008932,188.4964229201895,1.0,0.14433535759119975,0.17472335468841002,0.0,0.10635290409320325,0.023021773215356037,-837.4875485609809,188.52208583723794,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,14.98,163.0,8.0,120.73355693426744,188.96011858782455,191.4219639897805,194.73095355212436,189.87273505501435,183.93465723569014,186.62442248263207,1.0,0.13760478088276556,0.16685205784204674,0.0,0.10148561290827077,0.021968170826328483,-784.3938910349243,186.87303851997964,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,15.68,162.0,6.0,117.54869276176576,187.33128715477463,189.9039745094725,193.69821942604455,188.2731728188716,182.14469072788967,184.91180117338172,1.0,0.13227428054832416,0.16059957173447537,0.0,0.09762461742759984,0.021132397105813775,-741.5994471985177,185.34133834594513,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,16.37,164.0,5.0,114.53626268566649,185.7225326397423,188.44406453744952,192.70977605821355,186.69171249311248,180.3872514854677,183.2251590700704,1.0,0.1274092403950865,0.15487867836861124,0.0,0.09409597292123258,0.020368566025921422,-702.5700786146554,183.82135091306856,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,17.19,166.0,5.0,111.23102503348603,183.93291338243915,186.87628269379215,191.6952124563503,184.93198957558744,178.437487552436,181.3506918512564,1.0,0.12207347071389917,0.1485884101040119,0.0,0.09022062693930369,0.01952968591176091,-660.7149876744588,182.1279814791714,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,17.88,166.0,5.0,108.57719751402684,182.43308067325452,185.59961425638457,190.8830473805322,183.4557770049871,176.8136873444035,179.78455174086594,1.0,0.117918080729327,0.14367816091954022,0.0,0.08719874721628906,0.018875552108264977,-628.2128961120798,180.7031157114401,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,18.58,166.0,5.0,106.10852274911755,181.03902172900663,184.45838501038313,190.21427007067007,182.08364943725195,175.30754378945133,178.32968440231886,1.0,0.11398189731100795,0.139017608897127,0.0,0.08433316873604497,0.018255252188244267,-598.3182159806493,179.37895409611207,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,19.39,166.0,5.0,103.59573070353817,179.67369927722612,183.40823268630876,189.7167729931556,180.7406791845039,173.8325793787291,176.90351771444534,1.0,0.10974294514765932,0.13398838767306834,0.0,0.0812437776069092,0.017586504469929338,-567.7387612158018,178.0867750585295,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,20.09,168.0,5.0,101.5419823028879,178.5247125807357,182.554765024668,189.35041704844483,179.60950884120132,172.59991275571903,175.70729607726915,1.0,0.10632571700065337,0.12992637505413598,0.0,0.07875069735159645,0.017046837699803405,-543.3010087842667,176.99653102038477,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,20.79,172.0,5.0,99.55126980606526,177.3594781033363,181.7067042856233,189.00067067875963,178.46105638521166,171.35928091267954,174.49888564328168,1.0,0.10311487680567505,0.12610340479192939,0.0,0.07640609386586814,0.016539311081808398,-520.2669283093674,175.8866610768948,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,21.48,173.0,5.0,97.796003650456,176.36856723715874,181.0365942502915,188.83466873913684,177.48466862553715,170.30786868417567,173.47207402072914,1.0,0.10013420689065192,0.12254901960784313,0.0,0.07422774216616501,0.016067772300226074,-499.8020606113314,174.94590434953557,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,22.3,171.0,5.0,96.00005505206754,175.43812498052307,180.4893007070894,188.83151623814646,176.5686263477145,169.32469142600044,172.5082202840156,1.0,0.09680859743286974,0.11857707509881422,0.0,0.07179522417722797,0.01554121519338388,-478.33584659937696,174.06952590870767,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,22.99,170.0,5.0,94.6452644351528,174.77284378590178,180.150326660186,187.82418617953763,175.91366184308376,168.62762328577182,171.82098096917036,1.0,0.0941767086627128,0.11542901115813774,0.0,0.06986857327361684,0.015124161041959624,-461.97577080860356,173.4461621201306,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,23.69,172.0,5.0,93.46625128890106,174.27639796507236,179.9803547810016,186.98878842787852,175.42559556120383,168.1128141365287,171.30903790031638,1.0,0.09164898150092021,0.11240164855751215,0.0,0.06801687668614412,0.014723331941297858,-447.18090830367873,172.9886758703488,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,24.39,173.0,5.0,92.66651471810084,174.19300287431352,180.19633943618277,186.55813846194056,175.34697454374137,168.03323074778044,171.2208888114309,1.0,0.0892533972868629,0.10952902519167579,0.0,0.06626080749284623,0.014343202907085986,-435.2187067278137,172.93924812963303,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,25.2,176.0,5.0,91.64455232036435,173.92830425976595,180.2974853817498,185.92582115926876,175.08785240319585,167.77493046132264,170.951968649084,1.0,0.08663307618586734,0.10638297872340426,0.0,0.0643386849697572,0.013927128995461493,-421.3103455496348,172.7128966728544,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,25.9,178.0,5.0,90.40273292329164,173.2079020093131,179.9421148191226,184.93687564562023,174.37471570300883,167.04847364614773,170.2226876980032,1.0,0.08448946824948608,0.10380622837370243,0.0,0.0627652322077295,0.013586530184725379,-407.6091839086221,172.0272307937298,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,26.59,180.0,6.0,89.18344829619451,172.4563937072638,179.56079574004715,183.9371431791141,173.62999369634989,166.29482646635972,169.464463497887,1.0,0.08247782994274959,0.1013856032443393,0.0,0.06128781106236296,0.013266718940808685,-394.56824392094495,171.30860890975046,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,27.41,180.0,8.0,87.74860380655637,171.5219150399405,179.07802015464898,182.72664183871623,172.703088867776,165.3626480720491,168.52457583553021,1.0,0.08020832298740814,0.09865175928970733,0.0,0.05962002742570516,0.01290570071584541,-379.6827124065312,170.4115155339041,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,28.1,180.0,5.0,86.52238421356637,170.66250076795836,178.61202156456392,181.65208970416148,171.84995414607027,164.50738139490986,167.66188315568866,1.0,0.07839319237600684,0.09646302250803858,0.0,0.05828540496134847,0.01261680051171358,-367.4730100035413,169.58247597664638,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,28.8,180.0,5.0,85.39209723387755,169.89535169493118,178.2383983221232,180.6712954089033,171.08793931710352,163.75260085389442,166.89551388319933,1.0,0.07663381960415652,0.09433962264150944,0.0,0.05699114741522199,0.012336637934459695,-356.09002860268083,168.8441307802604,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,29.61,178.0,5.0,84.15713475398267,169.05393355663907,177.85249257296894,179.59281149657815,170.25153189481784,162.93214452413204,166.05845036887328,1.0,0.07469403975514591,0.09199632014719412,0.0,0.05556345330078001,0.012027590895229083,-343.73931601995355,168.03420227725243,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,30.31,174.0,5.0,83.25187103002551,168.50388313856828,177.68029451319774,178.83804477664282,169.70407116166675,162.4107431432425,165.51744754587497,1.0,0.07309509583456918,0.09006304413089163,0.0,0.0543860466551536,0.011772722549047302,-334.269487963782,167.50907182840126,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,31.01,170.0,10.0,81.92052642653123,167.34136167387393,176.96614568962613,177.51504765763414,168.54807637470952,161.2571155215835,164.35467161382297,1.0,0.07156317306162552,0.08820935019112025,0.0,0.053257507750915256,0.011528432400700126,-322.83220650970543,166.3739736868618,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
