galaxy,evidence_id,evidence_lane,source_field,source_value,status,source,source_ref,interpretation,uses_vobs_or_residual,claim_boundary
NGC4088,VS2001_PA_INCLINATION_HI_SIZE,source_literature,global_hi_geometry,PA=231deg; inclination=69deg; HI_diameter=8.5arcmin,ACCEPTED_LITERATURE_SOURCE_FIELD,Verheijen_Sancisi_2001_Ursa_Major_HI,2001_verheijen_sancisi_ursa_major_hi.txt,supports geometry normalization and projection context; not sufficient for warp-onset acceptance,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4088,VS2001_STRONG_DISTORTION,source_literature,strong_optical_kinematic_distortion,strongly_distorted_disk,ACCEPTED_LITERATURE_SOURCE_FIELD,Verheijen_Sancisi_2001_Ursa_Major_HI,2001_verheijen_sancisi_ursa_major_hi.txt,supports warp/history-coupled review and rejects quiet-thick-disk interpretation,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4088,VS2001_PV_ASYMMETRY,source_literature,pv_asymmetry,strong_position_velocity_asymmetry,ACCEPTED_LITERATURE_SOURCE_FIELD,Verheijen_Sancisi_2001_Ursa_Major_HI,2001_verheijen_sancisi_ursa_major_hi.txt,supports HI asymmetry/history layer; not a numeric q_warp amplitude by itself,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4088,VS2001_ASYMMETRIC_WARP,source_literature,asymmetric_warp_and_side_pa_change,warp_asymmetric; PA changes more in southern than northern part,ACCEPTED_LITERATURE_SOURCE_FIELD,Verheijen_Sancisi_2001_Ursa_Major_HI,2001_verheijen_sancisi_ursa_major_hi.txt,supports warp-asymmetry source review; numeric onset and q_warp still require measurement/review,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4088,VS2001_COMPANION_CONTEXT,source_literature,near_companion_context,NGC4085 located 10arcmin south,ACCEPTED_LITERATURE_SOURCE_FIELD,Verheijen_Sancisi_2001_Ursa_Major_HI,2001_verheijen_sancisi_ursa_major_hi.txt,supports morphology-memory/history context; does not fix epsilon_cross numeric bound,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4088,G1_WARP_ONSET,morphology_precision_gate,x_warp_onset_value,0.2823529411764706,SOURCE_REVIEW_READY_NOT_ACCEPTED,existing_ngc4088_source_review_packet,data/derived/ngc4088_source_review_gate_decisions.csv,"channel-map digitization validates dimensionally, but independent source review is still required before accepted-manifest promotion",False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4088,G2_Q_WARP,morphology_precision_gate,q_warp_measured_first_pass,1.0,SOURCE_REVIEW_REQUIRED,existing_ngc4088_source_review_packet,data/derived/ngc4088_source_review_gate_decisions.csv,first-pass q_warp comes from internal digitization response and is not yet independently accepted,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4088,G3_MEMORY_HISTORY,morphology_precision_gate,m_history_warp_first_pass,1.0,SOURCE_REVIEW_REQUIRED,existing_ngc4088_source_review_packet,data/derived/ngc4088_source_review_gate_decisions.csv,"memory/history response is partly filled, but one required component remains unaccepted",False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4088,G4_INTERACTION_CONTEXT,morphology_precision_gate,h4_interaction_context,1.0,ACCEPTED_SUPPORT_FIELD,existing_ngc4088_source_review_packet,data/derived/ngc4088_source_review_gate_decisions.csv,"interaction/history context is source-reviewed and can support the subfamily, but cannot alone promote it",False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4088,G5_EPSILON_CROSS_BOUND,morphology_precision_gate,epsilon_cross_numeric_bound,blocked,BLOCKED_UNTIL_G2_G3_ACCEPTED,existing_ngc4088_source_review_packet,data/derived/ngc4088_source_review_gate_decisions.csv,numeric epsilon_cross bound depends on accepted q_warp and accepted memory/history inputs,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,E1_SMOOTH_EDGE_DISK_COMPONENT,smooth_disk_carrier,S4G component decomposition,Z:edgedisk;N:psf,PASS,mixed_overlay_fresh_source_freeze_review,data/derived/ngc4013_mixed_overlay_fresh_source_freeze_fields.csv,supports an exponential/smooth disk carrier rather than a compact-core carrier,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,E2_DISK_SCALE_PRESENT,smooth_disk_carrier,SPARC/S4G disk scale,Rdisk=3.53 kpc; S4G hr=2.39 kpc,PASS,mixed_overlay_fresh_source_freeze_review,data/derived/ngc4013_mixed_overlay_fresh_source_freeze_fields.csv,supports a source-native smooth disk radial carrier,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,E3_COMPACT_LANE_REJECTED,anti_compact,compact lane source review,COMPACT_ENDPOINT_NOT_SOURCE_SUPPORTED,PASS,mixed_overlay_fresh_source_freeze_review,data/derived/ngc4013_mixed_overlay_fresh_source_freeze_fields.csv,prevents treating the galaxy as pure K_true_compact,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,E4_WARP_OVERLAY_PRESENT,overlay,warp/flare/disk-halo pressure,warp_flare_disk_halo_overlay_present,PASS,mixed_overlay_fresh_source_freeze_review,data/derived/ngc4013_mixed_overlay_fresh_source_freeze_fields.csv,"supports a source-windowed overlay correction, not a pure smooth disk only",False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,E5_WARP_ONSET_NUMERIC,overlay,line_of_sight_warp_onset,10.0,PASS,mixed_overlay_fresh_source_freeze_review,data/derived/ngc4013_mixed_overlay_fresh_source_freeze_fields.csv,supplies the radial activation window for the overlay component,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,E6_VERTICAL_EXTENDED_COMPONENT,overlay,h/R and extended component,h/R=0.232932; f_EC=0.2,PASS,mixed_overlay_fresh_source_freeze_review,data/derived/ngc4013_mixed_overlay_fresh_source_freeze_fields.csv,supports the vertical-overlay attenuation amplitude,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,E7_LAG_CONTEXT,overlay,rotational lag,lag shallows from -35 km/s/kpc at 5.8 kpc to zero near R25,PASS_CAVEATED,mixed_overlay_fresh_source_freeze_review,data/derived/ngc4013_mixed_overlay_fresh_source_freeze_fields.csv,"supports the overlay kernel, but figure-level digitization would strengthen it",False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,RL1_COMPACT_REJECTION,replacement_label_gate,compact_lane_decision,COMPACT_ENDPOINT_NOT_SOURCE_SUPPORTED,ACCEPTED_NEGATIVE_COMPACT_EVIDENCE,S4G decomposition + Comeron vertical decomposition review,data/derived/ngc4013_warp_vertical_overlay_replacement_label_source_fields.csv,supports caveated replacement label review,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,RL2_WARP_OVERLAY_PRESSURE,replacement_label_gate,compact_only_overlay_flag,warp_flare_disk_halo_overlay_present,ACCEPTED_RECLASSIFICATION_PRESSURE,ngc4013_zschaechner_rand_2015_hi_kinematics.txt,data/derived/ngc4013_warp_vertical_overlay_replacement_label_source_fields.csv,supports caveated replacement label review,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,RL3_WARP_ONSET,replacement_label_gate,line_of_sight_warp_onset,10,ACCEPTED_NUMERIC_SOURCE_FIELD,ngc4013_zschaechner_rand_2015_hi_kinematics.txt,data/derived/ngc4013_warp_vertical_overlay_replacement_label_source_fields.csv,supports caveated replacement label review,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,RL4_VERTICAL_KERNEL,replacement_label_gate,s4g_edge_disk_h_over_r,0.2329317269076305,ACQUIRED_VERTICAL_KERNEL_EVIDENCE,S4G Pipeline 4 edge-disk decomposition,data/derived/ngc4013_warp_vertical_overlay_replacement_label_source_fields.csv,supports caveated replacement label review,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,RL5_EXTENDED_COMPONENT,replacement_label_gate,extended_component_mass_fraction,0.2,ACQUIRED_EXTENDED_VERTICAL_COMPONENT_EVIDENCE,Comeron et al. 2011,data/derived/ngc4013_warp_vertical_overlay_replacement_label_source_fields.csv,supports caveated replacement label review,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,RL6_CENTRAL_HI_SCALEHEIGHT,replacement_label_gate,final_hi_scaleheight_central,210,ACCEPTED_NUMERIC_SOURCE_FIELD,ngc4013_zschaechner_rand_2015_hi_kinematics.txt,data/derived/ngc4013_warp_vertical_overlay_replacement_label_source_fields.csv,supports caveated replacement label review,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
NGC4013,RL7_ROTATIONAL_LAG,replacement_label_gate,rotational_lag_profile,lag_shallows_radially_from_minus35_to_zero_near_R25,ACCEPTED_CONTEXT_SOURCE_FIELD,ngc4013_zschaechner_rand_2015_hi_kinematics.txt,data/derived/ngc4013_warp_vertical_overlay_replacement_label_source_fields.csv,supports caveated replacement label review,False,ngc4088_ngc4013_morphology_adequacy_review_not_endpoint
