galaxy,model_id,route_id,selected_spin_normalization_route,n_points,rmse_km_s,weighted_rmse_km_s,mae_km_s,construction_used_vobs,scoring_used_vobs,endpoint_validation_claim,claim_boundary
ESO563-G021,BETA_CL_TRANSFER_SOURCE_FROZEN,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,30,82.38513186301098,68.56274437043737,75.55871893171047,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
ESO563-G021,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,carrier_reference,BULLOCK_DISK_CONVERSION,30,117.979670125645,101.43457710172937,109.26196713793779,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
IC4202,BETA_CL_TRANSFER_SOURCE_FROZEN,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,32,33.145668826125174,37.004212152018994,21.132935081367062,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
IC4202,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,carrier_reference,BULLOCK_DISK_CONVERSION,32,74.94486386856575,68.74142864076853,72.74335895014882,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC0801,BETA_CL_TRANSFER_SOURCE_FROZEN,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,13,34.90938650074011,38.55028286531274,29.664177891129626,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC0801,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,carrier_reference,BULLOCK_DISK_CONVERSION,13,53.955412557620825,59.84194987703433,48.5930536895581,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC0891,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,carrier_reference,BULLOCK_DISK_CONVERSION,18,44.153662630839975,46.158386802020985,40.36120006055521,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC0891,BETA_CL_TRANSFER_SOURCE_FROZEN,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,18,74.34556448807079,52.739828158393145,56.65573428602746,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC2841,BETA_CL_TRANSFER_SOURCE_FROZEN,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,50,132.31083551733263,145.03295915300427,129.32666647336868,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC2841,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,carrier_reference,BULLOCK_DISK_CONVERSION,50,138.40141515343194,150.37167539146535,135.84953899750712,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC3521,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,carrier_reference,BULLOCK_DISK_CONVERSION,41,35.20819118432227,38.81062649315812,29.23752488608689,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC3521,BETA_CL_TRANSFER_SOURCE_FROZEN,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,41,35.20819118432227,38.81062649315812,29.23752488608689,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC4013,BETA_CL_TRANSFER_SOURCE_FROZEN,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,36,38.137267645694834,37.542964057177905,32.25595712783714,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC4013,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,carrier_reference,BULLOCK_DISK_CONVERSION,36,68.95733651542552,65.50540005551184,65.64151881680635,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC4157,BETA_CL_TRANSFER_SOURCE_FROZEN,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,17,36.16030540541304,29.871651539670243,30.834330018663163,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC4157,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,carrier_reference,BULLOCK_DISK_CONVERSION,17,52.881360670648775,48.61905452964154,45.84481716755616,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC4217,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,carrier_reference,BULLOCK_DISK_CONVERSION,19,47.62083817049287,45.16581004140468,43.71781695436385,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC4217,BETA_CL_TRANSFER_SOURCE_FROZEN,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,19,54.99937353255324,52.55887435615802,42.50237751396179,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC7331,BETA_CL_TRANSFER_SOURCE_FROZEN,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,36,57.00889147029197,58.46716290120492,49.45598450793832,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
NGC7331,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,carrier_reference,BULLOCK_DISK_CONVERSION,36,60.021703531382045,62.39923922328366,51.60566658092691,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
UGC11455,BETA_CL_TRANSFER_SOURCE_FROZEN,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,36,39.48543240742348,41.27258767827685,35.90953689516596,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
UGC11455,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,carrier_reference,BULLOCK_DISK_CONVERSION,36,60.052146253715186,59.08387598472725,52.07307183901739,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
